disaster_type,severity,population_affected,rainfall_mm,temperature_c,disaster_duration_days,district,state,latitude,longitude,food_required,medical_required,water_required,clothing_required
Earthquake,6,23833,752.27,28.7,19,Supaul,Bihar,26.1249,84.9994,45363,4467,42760,22441
Fire,4,88406,67.5,32.9,2,Mamit,Mizoram,23.7881,92.8207,11625,15979,53271,20909
Earthquake,8,99523,217.16,17.1,4,Chikkamagaluru (Chikmagalur),Karnataka,13.2367,77.8649,46489,19471,121114,72693
Landslide,5,4075,462.58,41.9,18,Balod,Chhattisgarh,21.2223,81.6993,5198,737,6164,2755
Cyclone,1,78555,604.24,32.9,27,Begusarai,Bihar,25.6656,85.2215,96545,7690,103884,38271
Tsunami,9,75238,339.17,31.9,29,Varanasi,Uttar Pradesh,27.6039,81.0706,323096,18871,291571,74033
Tsunami,1,45563,298.39,41.6,21,Upper Subansiri,Arunachal Pradesh,26.6801,93.24,57789,5871,57523,24036
Fire,6,99696,41.38,41.8,4,Bageshwar,Uttarakhand,30.1772,78.1525,31902,32975,98054,28094
Cyclone,1,42254,32.6,14.7,6,Kondagaon,Chhattisgarh,20.7983,81.4041,14133,2808,33668,16066
Flood,3,75776,278.69,15.1,14,Kendujhar (Keonjhar),Odisha,20.1006,85.1708,92976,8792,134497,27842
Landslide,10,86806,530.51,36.7,7,Solan,Himachal Pradesh,30.4953,77.4203,63197,26774,157284,54387
Flood,5,28930,556.37,43.5,12,Dewas,Madhya Pradesh,23.7521,77.3977,31536,5233,61463,14952
Landslide,10,72226,494.03,33.3,2,Gajapati,Odisha,20.6134,85.6908,16041,19149,96334,43266
Earthquake,7,46845,409.88,24.4,18,Madhubani,Bihar,25.3533,84.9093,82273,9335,88310,36974
Cyclone,10,30709,252.29,33.9,24,Bhandara,Maharashtra,18.9026,73.0525,82365,7659,83592,26570
Landslide,8,17501,400.69,18.0,13,Sheohar,Bihar,25.9736,85.5112,20765,3957,29128,11015
Earthquake,9,27829,138.76,44.9,13,Hathras,Uttar Pradesh,27.1639,81.3898,36179,9241,45710,24807
Earthquake,6,45267,115.26,25.1,25,Sukma,Chhattisgarh,21.7476,82.0238,97262,7940,98244,35708
Earthquake,9,94281,299.94,42.6,5,Hapur (Panchsheel Nagar),Uttar Pradesh,27.2806,80.5201,50065,26573,152314,64105
Cyclone,8,57491,995.35,25.1,7,Androth,Lakshadweep (UT),10.5844,72.8497,47237,11901,114414,33487
Fire,9,94683,326.5,42.5,29,Mandla,Madhya Pradesh,23.516,77.4139,240177,42789,186785,45568
Cyclone,10,58271,936.46,21.7,12,Hoshiarpur,Punjab,31.2571,76.1661,89179,15106,159782,37366
Tsunami,4,88196,392.26,36.6,25,Pherzawl,Manipur,24.3679,93.8989,211215,17359,183233,74488
Landslide,9,6747,439.01,43.3,14,Nagpur,Maharashtra,18.7733,73.2721,8706,2065,12227,5117
Cyclone,7,21206,797.06,32.6,1,Kaithal,Haryana,28.9106,76.0643,2550,4380,29699,11449
Fire,5,6115,93.64,33.7,24,Hassan,Karnataka,13.4835,77.3657,9320,1545,9267,2438
Earthquake,5,21606,182.31,13.6,10,Devbhoomi Dwarka,Gujarat,23.606,72.8016,18081,3039,23731,13681
Cyclone,1,24167,973.84,26.6,26,Ganjam,Odisha,20.2781,86.2365,36434,2168,39274,14010
Tsunami,2,2156,505.92,41.0,25,Kalpeni,Lakshadweep (UT),10.3706,72.4507,3982,357,4632,1572
Flood,10,97355,44.31,18.4,9,West Siang,Arunachal Pradesh,27.4899,94.0267,122850,20522,260745,61675
Cyclone,3,29428,47.38,37.6,10,Latehar,Jharkhand,23.9267,84.7851,21829,3716,31815,12994
Earthquake,8,77812,907.24,33.6,7,Salem,Tamil Nadu,12.9106,80.5676,56944,19406,130706,57825
Earthquake,6,52932,873.37,17.8,16,Puri,Odisha,19.9383,85.1773,65992,8813,100467,28737
Earthquake,10,42871,458.4,19.9,28,Nagaon,Assam,26.3516,91.7535,132306,11696,127027,46011
Fire,5,97521,163.22,25.0,28,Bharatpur,Rajasthan,26.5245,76.0965,173598,23998,145374,43519
Earthquake,1,86905,830.28,14.4,12,Meerut,Uttar Pradesh,26.8147,81.1492,54030,7412,81053,44286
Earthquake,9,46615,324.6,42.0,12,Rayagada,Odisha,20.2532,86.5568,53639,13396,81299,41224
Flood,3,64638,419.06,35.9,26,Unnao,Uttar Pradesh,26.4437,81.3904,141046,9625,127980,34465
Cyclone,3,68750,682.48,22.8,19,Jhajjar,Haryana,28.7185,76.0391,95717,9845,115378,38771
Flood,2,79078,353.4,20.5,29,Pratapgarh,Uttar Pradesh,26.3572,81.24,183729,6807,145758,41193
Cyclone,4,40251,628.67,34.1,13,Thanjavur,Tamil Nadu,12.4834,79.8028,42140,6310,62261,23444
Earthquake,2,1729,885.28,24.8,21,Tirunelveli,Tamil Nadu,13.4444,80.3608,2292,190,1972,1139
Flood,9,83563,797.37,18.0,29,East Singhbhum,Jharkhand,22.9731,85.3546,304682,18457,327145,70583
Cyclone,10,96953,381.61,25.1,18,Tarn Taran,Punjab,31.1637,76.3695,243691,23328,294304,78311
Flood,7,89532,287.94,40.5,27,Sukma,Chhattisgarh,21.6649,82.077,258698,15470,282010,68689
Tsunami,8,28255,285.51,12.4,26,Barnala,Punjab,31.4429,75.6621,91579,6031,107997,27419
Tsunami,3,18388,348.59,22.9,3,Chandauli,Uttar Pradesh,26.4519,80.9135,4282,2290,25554,8995
Earthquake,6,50688,493.52,43.7,26,Upper Subansiri,Arunachal Pradesh,26.9291,93.5529,119123,11290,113669,45974
Tsunami,10,87051,416.6,10.5,7,Kheda (Nadiad),Gujarat,22.9904,72.2066,86518,18811,229139,61839
Fire,6,36185,133.0,41.2,1,Davangere,Karnataka,13.0272,77.5486,2313,9471,27686,8749
Earthquake,1,11351,163.46,23.1,3,Nandurbar,Maharashtra,18.8518,72.7438,1744,885,6858,5020
Flood,6,25674,342.93,16.6,21,Vikarabad,Telangana,17.0763,78.7467,58288,4154,63207,16203
Fire,3,9723,562.06,10.5,27,Minicoy,Lakshadweep (UT),10.5105,72.1307,16382,1518,12991,3748
Fire,3,86572,592.66,12.5,14,Tawang,Arunachal Pradesh,27.3532,93.5725,68280,15381,80821,29943
Earthquake,3,54815,486.21,16.0,4,Dhanbad,Jharkhand,23.5504,85.4381,14022,7232,51494,28507
Fire,10,6223,738.78,10.9,19,Morena,Madhya Pradesh,23.4339,77.6489,11845,1657,13692,2693
Earthquake,10,3161,737.25,21.8,22,Thoothukudi (Tuticorin),Tamil Nadu,13.5617,79.6265,8121,764,9871,3761
Fire,8,39195,427.63,11.6,28,Jhabua,Madhya Pradesh,23.1773,77.4912,91044,10535,80269,23179
Tsunami,5,59718,124.44,34.2,6,Nawada,Bihar,25.8023,85.1638,35545,13630,101273,26172
Cyclone,4,28551,530.17,38.7,20,Vidisha,Madhya Pradesh,23.7851,77.6936,47883,4452,49195,20615
Fire,9,81997,381.47,41.1,9,Boudh,Odisha,20.3738,85.9449,67900,36795,117274,29826
Earthquake,9,81543,137.92,29.2,11,West Garo Hills,Meghalaya,25.4746,92.2487,93654,22895,131975,70935
Fire,1,34914,981.82,43.1,22,Baran,Rajasthan,27.1911,76.1237,44750,6684,31381,9676
Fire,2,85241,369.76,10.2,15,Baksa,Assam,25.8823,91.925,66611,11866,62251,29126
Flood,8,97892,625.8,14.7,9,Chamba,Himachal Pradesh,31.2883,77.2479,89282,16007,197855,54827
Earthquake,5,76968,490.13,20.3,29,Jehanabad,Bihar,25.6298,85.2224,175290,13276,158764,75334
Flood,7,37932,142.83,37.6,11,Sivaganga,Tamil Nadu,13.4197,80.1669,45044,6797,72448,20903
Fire,1,95112,55.54,41.0,26,Nandurbar,Maharashtra,18.9981,72.6538,107964,16406,76902,26664
Earthquake,10,9545,625.77,31.6,10,Chittoor,Andhra Pradesh,16.8112,80.3038,12793,2231,19353,7873
Fire,5,33590,247.02,23.4,2,Osmanabad,Maharashtra,19.5754,72.3064,4087,9531,27173,7344
Flood,3,29867,243.65,33.3,22,Tiruchirappalli,Tamil Nadu,12.5094,80.47,55423,3432,66495,15928
Earthquake,10,46157,956.98,16.3,14,Chandigarh,Chandigarh (UT),30.4462,76.8717,79152,10277,87076,41078
Cyclone,2,80846,461.77,26.0,4,Sambalpur,Odisha,20.9958,85.4526,21666,10560,66057,26199
Landslide,2,89795,29.43,27.8,2,Bankura,West Bengal,22.5222,88.0738,10261,10526,46215,28351
Tsunami,9,73200,339.84,13.7,5,Washim,Maharashtra,19.0062,73.5978,43173,14863,142488,42783
Tsunami,4,41143,584.49,11.2,14,Namakkal,Tamil Nadu,13.2011,80.3658,56963,5455,83619,23414
Fire,4,86855,328.57,36.3,15,Gandhinagar,Gujarat,22.6954,72.5538,87754,22583,87552,27784
Fire,7,28046,26.85,28.7,19,Sirsa,Haryana,29.484,76.3283,36094,9122,33549,12846
Flood,10,36687,444.31,21.6,6,Chikballapur,Karnataka,12.7088,77.6995,29892,8096,88151,18955
Cyclone,10,3464,105.91,25.3,27,Chikkamagaluru (Chikmagalur),Karnataka,12.927,77.6747,11957,852,12257,3222
Earthquake,2,69954,619.16,43.5,15,Cuttack,Odisha,20.5047,85.4725,53759,10377,68523,40276
Fire,3,56188,619.59,23.5,14,Jajpur,Odisha,19.8369,85.8007,44778,10458,53595,16696
Landslide,3,77115,37.76,13.6,8,Koderma,Jharkhand,23.0862,85.6004,35167,7368,75734,34748
Flood,6,7498,290.67,26.2,20,Alipurduar,West Bengal,22.7721,88.4001,16956,1234,16990,4512
Tsunami,3,2552,413.69,32.7,12,Kannur,Kerala,8.6677,76.9436,2436,391,4077,1428
Fire,5,87308,550.26,10.4,4,Purulia,West Bengal,22.2756,88.5894,23134,18162,63258,16662
Earthquake,4,33293,296.06,21.6,21,Indore,Madhya Pradesh,23.1431,77.8857,47414,4735,56169,22527
Flood,3,79501,287.75,23.8,6,Karbi Anglong,Assam,25.9548,92.2605,36648,7955,103520,29367
Flood,8,25445,983.02,26.2,11,Anantnag,Jammu and Kashmir,34.3837,75.1189,33148,5637,61090,14460
Earthquake,10,85995,41.86,20.6,23,Gurgaon,Haryana,28.9805,76.4029,211739,20016,208130,94363
Fire,3,74435,989.05,33.3,22,Jalgaon,Maharashtra,19.003,72.4906,85320,15476,93920,27963
Flood,6,59296,47.75,43.1,7,Jalandhar,Punjab,31.2208,75.2957,38910,13313,85751,26100
Earthquake,7,23153,288.34,42.0,25,Chirang,Assam,26.3104,91.5184,50489,5291,46015,22703
Landslide,7,83320,493.69,33.3,4,Botad,Gujarat,23.0212,72.225,27625,22126,100492,40283
Landslide,2,5115,143.3,27.7,26,West Kameng,Arunachal Pradesh,27.4008,93.2511,6949,673,6577,2972
Tsunami,3,97301,134.85,38.9,15,Tinsukia,Assam,26.3026,91.2585,92198,17447,169337,57715
Cyclone,10,8757,256.31,39.3,1,Jaipur,Rajasthan,26.803,75.4641,1090,2482,12092,4495
Cyclone,10,51216,973.51,39.0,9,Mandla,Madhya Pradesh,23.4044,77.548,66715,16982,127888,37677
Fire,4,22051,380.12,15.5,23,Raipur,Chhattisgarh,21.6426,81.5037,32152,4352,29802,8842
Cyclone,7,97699,565.99,10.9,20,Chitrakoot,Uttar Pradesh,26.732,81.0095,189065,14986,246846,75496
